GANHWA,HANUH,KOREAN,
안녕,你好,ni3ha3o,
너희들,你们,ni3men,
잘가,再见,za4ijia4n,
내일,明天,mi2ngtia1n,
만나,见,jia4n,
선생님,老师,la3oshi1,
여러분,大家,da4jia1,
오후,下午,xia4wu3,
저녁,晚上,wa3nshang,
우리들,我们,wo3men,
고맙다,谢谢,xie4xie,
천만에,不客气,bu2ke4qi,
미안하다,对不起,dui4buqi3,
괜찮다,没关系,me2igua1nxi,
수업을 마치다,下课,xia4ke4,
유감이다,不好意思,bu4ha3oyi4si,
일,事,shi4,
아침,早上,za3oshang,
학우,同学,to2ngxue2,
당신,您,ni2n,
어머니,妈妈,ma1ma,
